Date,Actual,LSTM_pred,GRU_pred
2016-02-01,0.3799999999999999,0.20274631350011685,0.3047610123681159
2016-03-01,0.3799999999999999,0.22562652936997663,0.3481787741877138
2016-04-01,0.3799999999999999,0.24605810560946306,0.37312601551044744
2016-05-01,0.3799999999999999,0.27463197543466955,0.39960550491106406
2016-06-01,0.3799999999999999,0.309997887584041,0.45472540325727784
2016-07-01,0.3799999999999999,0.35424406145250154,0.5259035325450108
2016-08-01,0.3799999999999999,0.3936649168867119,0.564586296625259
2016-09-01,0.3799999999999999,0.4394827694229164,0.6051171231640591
2016-10-01,0.3799999999999999,0.48931712041884556,0.6650484160174781
2016-11-01,0.3799999999999999,0.5521622106424053,0.7344041127300691
2016-12-01,0.51,0.6303630512049903,0.8385614944952382
2017-01-01,0.6299999999999999,0.7264891611390167,0.9334268113184565
2017-02-01,0.6299999999999999,0.8321333225831353,1.063183702617077
2017-03-01,0.76,0.9475862129169781,1.1644149649527735
2017-04-01,0.8799999999999999,1.074407435190144,1.262784613839599
2017-05-01,0.8799999999999999,1.185056570693567,1.3129841906741162
2017-06-01,1.01,1.2697858231209174,1.3269545102721945
2017-07-01,1.13,1.3385785249426483,1.3383893813319085
2017-08-01,1.13,1.3918302758736,1.3677070722686664
2017-09-01,1.13,1.4331203260981158,1.382517386651379
2017-10-01,1.13,1.4553310228741936,1.4178744885283283
2017-11-01,1.13,1.4657089076844438,1.4523102700290549
2017-12-01,1.27,1.476340072424255,1.499368830719357
2018-01-01,1.38,1.4902191471729826,1.5999880255629053
2018-02-01,1.38,1.5045429866532842,1.726168161894197
2018-03-01,1.45,1.5274297332145896,1.8326957071743715
2018-04-01,1.63,1.5667632252481392,1.9587134156598116
2018-05-01,1.63,1.6412277093699033,2.0701280013395564
2018-06-01,1.77,1.7443268726796755,2.187814399699773
2018-07-01,1.88,1.8797017296841985,2.318063965436906
2018-08-01,1.88,2.0364894724801577,2.435395492339017
2018-09-01,1.9,2.1939646552649394,2.5556214555755434
2018-10-01,2.2333649254854357,2.3078701567904956,2.6790335028882906
2018-11-01,2.2333649254854357,2.357615296076864,2.704522729990724
2018-12-01,2.22,2.3964856327052875,2.723578548305839
2019-01-01,2.38,2.4145146538163007,2.7096934357480387
2019-02-01,2.38,2.42495910855209,2.6994174543684606
2019-03-01,2.38,2.4318139009634008,2.6638214277610714
2019-04-01,2.38,2.3985797666886906,2.579722048201604
2019-05-01,2.38,2.3689505740920302,2.596591532724366
2019-06-01,2.38,2.3170353661316274,2.563846615010269
2019-07-01,2.38,2.2476244357880826,2.5216906320662256
2019-08-01,2.2333649254854357,2.146909891309169,2.4134586533315834
2019-09-01,1.926635074514564,2.0273761852165344,2.2864092265195963
2019-10-01,1.86,1.9421371422401312,2.1690400480249408
2019-11-01,1.63,1.8921184378340274,2.166903472248427
